Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
GSE186458	Blood T EffMem CD8	Blood-T-EffMem-CD8	0.7432738932	0.819161256	blood, T cell
GSE186458	Blood T Naive CD4	Blood-T-Naive-CD4	0.5445986896	0.8309216549	blood, T cell
GSE186458	Blood T Naive CD8	Blood-T-Naive-CD8	0.5241682547	0.8397075058	blood, T cell
GSE186458	Bone Osteoblasts	Bone-Osteoblasts	0.7183741364	0.7750477613	bone
GSE186458	Bone	Bone	0.7484847812	0.7978043704	bone
GSE186458	Breast Basal Epithelial	Breast-Basal-Epithelial	0.655986746	0.822200698	mammary, epithelial, reproductive (F)
GSE186458	Breast Luminal Epithelial	Breast-Luminal-Epithelial	0.685363588	0.8255063046	mammary, epithelial, reproductive (F)
GSE186458	Cerebellum Neuron	Cerebellum-Neuron	0.5944618223	0.7970321572	brain, central nervous system
GSE186458	Colon Fibroblasts	Colon-Fibroblasts	0.7632464396	0.8489212724	colon, fibroblast
GSE186458	Colon Left Endocrine	Colon-Left-Endocrine	0.667553756	0.7994508581	colon, endocrine
GSE186458	Colon Left Epithelial	Colon-Left-Epithelial	0.6893411813	0.8067332628	colon, epithelial
GSE186458	Colon Macrophages	Colon-Macrophages	0.716766744	0.8421416493	colon, blood, macrophage
GSE186458	Colon Right Endocrine	Colon-Right-Endocrine	0.651374978	0.787407908	colon, endocrine
GSE186458	Colon Right Epithelial	Colon-Right-Epithelial	0.6907406084	0.8019632984	colon, epithelial
GSE186458	Coronary Artery Smooth Muscle	Coronary-Artery-Smooth-Muscle	0.6711567362	0.7386176459	vascular, smooth muscle, circulatory
GSE186458	Cortex Neuron	Cortex-Neuron	0.6632564076	0.8641703188	brain, central nervous system
GSE186458	Dermal Fibroblasts	Dermal-Fibroblasts	0.699258196	0.7972531166	skin, fibroblast
GSE186458	Endometrium Epithelial	Endometrium-Epithelial	0.7065970118	0.8145148308	endometrial, epithelial, reproductive (F)
GSE186458	Epidermal Keratinocytes	Epidermal-Keratinocytes	0.6842067351	0.8063078207	skin, keratinocytes
GSE186458	Esophagus Epithelial	Esophagus-Epithelial	0.6766053648	0.8046058363	esophagus, epithelial
GSE186458	Fallopian Epithelial	Fallopian-Epithelial	0.667889804	0.8077725625	fallopian, epithelial, reproductive (F)
GSE186458	Gallbladder Epithelial	Gallbladder-Epithelial	0.6223395483	0.795047264	gallbladder, gastrointestinal, epithelial
GSE186458	Gastric antrum Endocrine	Gastric-antrum-Endocrine	0.6743864381	0.8075355063	gastrointestinal, endocrine
GSE186458	Gastric antrum Epithelial	Gastric-antrum-Epithelial	0.7206305677	0.826249274	gastrointestinal, epithelial
GSE186458	Gastric body Epithelial	Gastric-body-Epithelial	0.7164840727	0.8204502658	gastrointestinal, epithelial
GSE186458	Gastric fundus Epithelial	Gastric-fundus-Epithelial	0.7210019646	0.8180008288	gastrointestinal, epithelial
GSE186458	Heart Cardiomyocyte	Heart-Cardiomyocyte	0.6553011281	0.8181671021	heart
GSE186458	Heart Fibroblasts	Heart-Fibroblasts	0.7362700613	0.7870682955	heart, fibroblast
GSE186458	Kidney Glomerular Endothel	Kidney-Glomerular-Endothel	0.7204341347	0.8492786923	kidney, endothelial
GSE186458	Kidney Glomerular Epithelial	Kidney-Glomerular-Epithelial	0.6686263825	0.8227299427	kidney, epithelial
GSE186458	Kidney Glomerular Podocytes	Kidney-Glomerular-Podocytes	0.6876549605	0.837609831	kidney
GSE186458	Kidney Tubular Endothel	Kidney-Tubular-Endothel	0.7027795684	0.8405878934	kidney, endothelial
GSE186458	Kidney Tubular Epithelial	Kidney-Tubular-Epithelial	0.6837477111	0.8357311023	kidney, epithelial
GSE186458	Larynx Epithelial	Larynx-Epithelial	0.7149542158	0.8035724037	larynx, epithelial
GSE186458	Liver Endothelium	Liver-Endothelium	0.7516387478	0.8246406251	liver, endothelial
GSE186458	Liver Hepatocytes	Liver-Hepatocytes	0.6783457892	0.7967173494	liver
GSE186458	Liver Macrophages	Liver-Macrophages	0.6634822434	0.8443424819	liver, blood, macrophage
GSE186458	Lung Alveolar Endothel	Lung-Alveolar-Endothel	0.7372127333	0.8393610183	lung, endothelial
GSE186458	Lung Alveolar Epithelial	Lung-Alveolar-Epithelial	0.7184511895	0.8284151442	lung, epithelial
GSE186458	Lung Alveolar Macrophages	Lung-Alveolar-Macrophages	0.6421927419	0.8462154286	lung, blood, macrophage
GSE186458	Lung Bronchus Epithelial	Lung-Bronchus-Epithelial	0.7225654057	0.8291770248	lung, epithelial
GSE186458	Lung Bronchus Smooth Muscle	Lung-Bronchus-Smooth-Muscle	0.6936680331	0.7584989463	lung, smooth muscle
GSE186458	Lung Interstitial Macrophages	Lung-Interstitial-Macrophages	0.6767360277	0.8547330315	lung, blood, macrophage
GSE186458	Lung Pleura	Lung-Pleura	0.6387270513	0.7865801584	lung
GSE186458	Neuron	Neuron	0.5152186555	0.8351198802	brain, central nervous system
GSE186458	Oligodendrocytes	Oligodendrocytes	0.657441096	0.836605641	brain, central nervous system
GSE186458	Ovary Epithelial	Ovary-Epithelial	0.6105896905	0.7408035879	ovary, epithelial, reproductive (F)
GSE186458	Pancreas Acinar	Pancreas-Acinar	0.7096759928	0.7817128012	pancreas
GSE186458	Pancreas Alpha	Pancreas-Alpha	0.6323662646	0.8120918583	pancreas
GSE186458	Pancreas Beta	Pancreas-Beta	0.6398846934	0.8122926449	pancreas
GSE186458	Pancreas Delta	Pancreas-Delta	0.6609482002	0.8197336747	pancreas
GSE186458	Pancreas Duct	Pancreas-Duct	0.663995304	0.822934687	pancreas
GSE186458	Pancreas Endothel	Pancreas-Endothel	0.7218843343	0.8473891755	pancreas, endothelial
GSE186458	Pancreas Islet Endothel	Pancreas-Islet-Endothel	0.687403734	0.8285684467	pancreas, endothelial
GSE186458	Pharynx Epithelial	Pharynx-Epithelial	0.6389159079	0.7495954104	pharynx, epithelial
GSE186458	Prostate Epithelial	Prostate-Epithelial	0.7293896556	0.8423942195	prostate, reproductive (M), epithelial
GSE186458	Prostate Smooth Muscle	Prostate-Smooth-Muscle	0.6362211205	0.7221332017	prostate, smooth muscle
GSE186458	Saphenous Vein Endothel	Saphenous-Vein-Endothel	0.7245372874	0.8497228548	endothelial
GSE186458	Skeletal Muscle	Skeletal-Muscle	0.7328232807	0.8407211499	skeletal muscle
GSE186458	Small int Endocrine	Small-int-Endocrine	0.6562801349	0.7806582873	small intestine, endocrine, gastrointestinal
GSE186458	Small int Epithelial	Small-int-Epithelial	0.7216188386	0.8129018818	small intestine, epithelial, gastrointestinal
GSE186458	Thyroid Epithelial	Thyroid-Epithelial	0.622353856	0.8209143613	thyroid, epithelial
GSE186458	Tongue Epithelial	Tongue-Epithelial	0.7230261124	0.8249542624	tongue, epithelial
GSE186458	Tongue	Tongue	0.6851669522	0.7914262027	tongue
GSE186458	Tonsil Palatine Epithelial	Tonsil-Palatine-Epithelial	0.7437164194	0.8220822611	tonsil, epithelial
GSE186458	Tonsil Pharyngeal Epithelial	Tonsil-Pharyngeal-Epithelial	0.7264084153	0.8171827938	tonsil, epithelial
GSE46644	bcell	bcell	0.5517249181	0.7165071244	blood, B cell
GSE46644	Colon Tumor Primary	Colon_Tumor_Primary	0.6852055476	0.7481820676	colon, cancer
GSE46644	Frontal cortex AD	Frontal_cortex_AD	0.666723465	0.8860760333	brain, cancer
GSE46644	Frontal cortex normal	Frontal_cortex_normal	0.6669656502	0.8859490125	brain
GSE46644	H1 BMP4 derived mesendoderm cells	H1.BMP4.derived.mesendoderm.cells	0.4853464253	0.839114254	stem
GSE46644	H1 derived mesenchymal stem cells	H1.derived.mesenchymal.stem.cells	0.5191931533	0.7484643458	stem
GSE46644	H1 derived neuronal progenitor cells	H1.derived.neuronal.progenitor.cells	0.4935333078	0.8366475425	stem
GSE46644	HepG2	HepG2	0.5927075199	0.5908881267	liver
GSE46644	HSCP	HSCP	0.5301209056	0.7648335499	blood, stem
GSE46644	human sperm	human.sperm	0.5517393173	0.7532926582	sperm
GSE46644	IMR90	IMR90	0.6060978866	0.7067621147	fibroblast, lung
TCGA	TCGA BLCA	TCGA-BLCA	0.7388545656	0.7791934585	bladder, cancer
TCGA	TCGA BRCA	TCGA-BRCA	0.7297019482	0.8350345057	mammary, cancer
TCGA	TCGA COAD	TCGA-COAD	0.7547947957	0.8221133009	colon, cancer
TCGA	TCGA GBM	TCGA-GBM	0.7033338837	0.8277277376	brain, cancer, central nervous system
TCGA	TCGA LUAD	TCGA-LUAD	0.7255971153	0.8330751995	lung, cancer
TCGA	TCGA LUSC	TCGA-LUSC	0.7485271416	0.8465861026	lung, cancer, squamous
TCGA	TCGA READ	TCGA-READ	0.7290003961	0.7937605081	kidney, cancer, gastrointestinal
TCGA	TCGA STAD	TCGA-STAD	0.7606939644	0.8086222188	stomach, cancer, gastrointestinal
TCGA	TCGA UCEC	TCGA-UCEC	0.698189203	0.8056559589	uterine, endometrial, cancer
GTEx	Basal ganglia	Basal_ganglia	0.5738492727	0.9111492504	brain
GTEx	Brain Amygdala	Brain_Amygdala	0.6379187221	0.9253425276	brain
GTEx	Brain Anterior cingulate cortex BA24	Brain_Anterior_cingulate_cortex_BA24	0.6129192685	0.9228538713	brain
GTEx	Brain Caudate basal ganglia	Brain_Caudate_basal_ganglia	0.5570231705	0.9041253774	brain
GTEx	Brain Frontal Cortex BA9	Brain_Frontal_Cortex_BA9	0.6073967849	0.9150879582	brain
GTEx	Brain Hippocampus	Brain_Hippocampus	0.649762326	0.9062474046	brain
GTEx	Brain Hypothalamus	Brain_Hypothalamus	0.6029990584	0.9391456177	brain
GTEx	Brain Nucleus accumbens basal ganglia	Brain_Nucleus_accumbens_basal_ganglia	0.5896964086	0.9214181909	brain
GTEx	Brain Putamen basal ganglia	Brain_Putamen_basal_ganglia	0.5528658768	0.8988484728	brain
GTEx	Breast Mammary Tissue	Breast_Mammary_Tissue	0.6876972341	0.9085428256	mammary
GTEx	Cortical	Cortical	0.6126095506	0.9190029321	brain
GTEx	Esophagus Muscularis	Esophagus_Muscularis	0.6876315566	0.9202198522	esophagus
GTEx	HC1	HC1	0.6295762639	0.9212203654	brain
GTEx	HC2	HC2	0.6378670641	0.8878504103	brain
GTEx	Heart Left Ventricle	Heart_Left_Ventricle	0.7042228287	0.9097975418	heart
GTEx	Lung	Lung	0.7137053526	0.9241954874	lung
GTEx	Muscle Skeletal	Muscle_Skeletal	0.6815144734	0.8937960838	skeletal muscle
GTEx	Pituitary	Pituitary	0.6986496729	0.8969967564	pituitary, endocrine
GTEx	Skin Sun Exposed Lower leg	Skin_Sun_Exposed_Lower_leg	0.7054833936	0.9150248568	skin
GTEx	Thyroid	Thyroid	0.6756742536	0.9219087703	thyroid, endocrine
